Data;Loja;Cupom;Seq;Cliente;SKU;Categoria;Qtd;ValorBruto;Desconto;ValorLiquido;Custo
2026-08-01;C01;100001;1;CLI-882;7891000100101;MERCEARIA;2;19,80;0,00;19,80;13,20
2026-08-01;C01;100001;2;CLI-882;7891000053508;BEBIDAS;1;8,49;0,50;7,99;5,10
2026-08-01;C01;100001;3;CLI-882;7896004400105;HORTIFRUTI;1,250;6,24;0,00;6,24;3,90
2026-08-01;C01;100002;1;;7891000100101;MERCEARIA;1;9,90;0,00;9,90;6,60
2026-08-01;C01;100002;2;;7894900011517;BEBIDAS;6;29,40;2,00;27,40;19,80
2026-08-01;C02;200055;1;CLI-104;7896004400105;HORTIFRUTI;0,830;4,15;0,00;4,15;2,60
2026-08-01;C02;200055;2;CLI-104;7891000053508;BEBIDAS;2;16,98;0,00;16,98;10,20
2026-08-02;C01;100034;1;CLI-511;7891000100101;MERCEARIA;3;29,70;1,50;28,20;19,80
2026-08-02;C01;100034;2;CLI-511;7896004400105;HORTIFRUTI;2,100;10,48;0,00;10,48;6,55
2026-08-02;C02;200088;1;;7894900011517;BEBIDAS;12;58,80;5,00;53,80;39,60
